date,year,quarter,month,month_name,year_month,week,weekday,weekday_name,is_weekend
2016-12-13,2016,4,12,Dec,2016-12,50,2,Tue,0
2016-12-14,2016,4,12,Dec,2016-12,50,3,Wed,0
2016-12-15,2016,4,12,Dec,2016-12,50,4,Thu,0
2016-12-16,2016,4,12,Dec,2016-12,50,5,Fri,0
2016-12-17,2016,4,12,Dec,2016-12,50,6,Sat,1
2016-12-18,2016,4,12,Dec,2016-12,50,7,Sun,1
2016-12-19,2016,4,12,Dec,2016-12,51,1,Mon,0
2016-12-20,2016,4,12,Dec,2016-12,51,2,Tue,0
2016-12-21,2016,4,12,Dec,2016-12,51,3,Wed,0
2016-12-22,2016,4,12,Dec,2016-12,51,4,Thu,0
2016-12-23,2016,4,12,Dec,2016-12,51,5,Fri,0
2016-12-24,2016,4,12,Dec,2016-12,51,6,Sat,1
2016-12-25,2016,4,12,Dec,2016-12,51,7,Sun,1
2016-12-26,2016,4,12,Dec,2016-12,52,1,Mon,0
2016-12-27,2016,4,12,Dec,2016-12,52,2,Tue,0
2016-12-28,2016,4,12,Dec,2016-12,52,3,Wed,0
2016-12-29,2016,4,12,Dec,2016-12,52,4,Thu,0
2016-12-30,2016,4,12,Dec,2016-12,52,5,Fri,0
2016-12-31,2016,4,12,Dec,2016-12,52,6,Sat,1
2017-01-01,2017,1,1,Jan,2017-01,52,7,Sun,1
2017-01-02,2017,1,1,Jan,2017-01,1,1,Mon,0
2017-01-03,2017,1,1,Jan,2017-01,1,2,Tue,0
2017-01-04,2017,1,1,Jan,2017-01,1,3,Wed,0
2017-01-05,2017,1,1,Jan,2017-01,1,4,Thu,0
2017-01-06,2017,1,1,Jan,2017-01,1,5,Fri,0
2017-01-07,2017,1,1,Jan,2017-01,1,6,Sat,1
2017-01-08,2017,1,1,Jan,2017-01,1,7,Sun,1
2017-01-09,2017,1,1,Jan,2017-01,2,1,Mon,0
2017-01-10,2017,1,1,Jan,2017-01,2,2,Tue,0
2017-01-11,2017,1,1,Jan,2017-01,2,3,Wed,0
2017-01-12,2017,1,1,Jan,2017-01,2,4,Thu,0
2017-01-13,2017,1,1,Jan,2017-01,2,5,Fri,0
2017-01-14,2017,1,1,Jan,2017-01,2,6,Sat,1
2017-01-15,2017,1,1,Jan,2017-01,2,7,Sun,1
2017-01-16,2017,1,1,Jan,2017-01,3,1,Mon,0
2017-01-17,2017,1,1,Jan,2017-01,3,2,Tue,0
